[E][2019-1-23 14:26:52 @LoggerApp.cpp:12] LoggerApp start
[E][2019-1-23 14:27:0 @DbApp.cpp:16] DbApp start
[E][2019-1-23 14:27:0 @../../script/db.lua:6] db init
[I][2019-1-23 14:27:0 @-:0] server init:db
[E][2019-1-23 14:27:27 @DbApp.cpp:16] DbApp start
[E][2019-1-23 14:27:27 @../../script/db.lua:6] db init
[I][2019-1-23 14:27:27 @-:0] server init:db
[E][2019-1-23 14:28:2 @DbApp.cpp:16] DbApp start
[E][2019-1-23 14:28:2 @../../script/db.lua:6] db init
[I][2019-1-23 14:28:2 @-:0] server init:db
[E][2019-1-23 14:28:10 @DbApp.cpp:16] DbApp start
[E][2019-1-23 14:28:10 @../../script/db.lua:6] db init
[I][2019-1-23 14:28:10 @-:0] server init:db
[E][2019-1-23 14:28:24 @DbApp.cpp:16] DbApp start
[E][2019-1-23 14:28:24 @../../script/db.lua:6] db init
[I][2019-1-23 14:28:24 @-:0] server init:db
[E][2019-1-23 14:31:59 @DbApp.cpp:16] DbApp start
[E][2019-1-23 14:31:59 @../../script/db.lua:6] db init
[I][2019-1-23 14:31:59 @-:0] server init:db
[E][2019-1-23 14:34:31 @DbApp.cpp:16] DbApp start
[E][2019-1-23 14:34:31 @../../script/db.lua:6] db init
[I][2019-1-23 14:34:31 @-:0] server init:db
[E][2019-1-23 14:37:1 @DbApp.cpp:16] DbApp start
[E][2019-1-23 14:37:1 @../../script/db.lua:6] db init
[I][2019-1-23 14:37:1 @-:0] server init:db
[E][2019-1-23 14:37:17 @DbApp.cpp:16] DbApp start
[E][2019-1-23 14:37:17 @../../script/db.lua:6] db init
[I][2019-1-23 14:37:17 @-:0] server init:db
